Ref,Val,Package,PosX,PosY,Rot,Side
"SW_A1","SW_Push","MXOnly-1U-NoLED",38.100000,-47.625160,0.000000,top
"SW_C1","SW_Push","MXOnly-1U-NoLED",85.725000,-66.675240,0.000000,top
"SW_CAPS1u1","SW_Push","MXOnly-1U-NoLED",9.525040,-85.725360,0.000000,top
"SW_CTL1.5u1","SW_Push","MXOnly-1.5U-NoLED",14.287540,-47.625360,0.000000,top
"SW_CTL1.25u1","SW_Push","MXOnly-1.25U-NoLED",16.668820,-47.625200,0.000000,top
"SW_CenterC1u1","SW_Push","MXOnly-1U-NoLED",142.875040,-85.725360,0.000000,top
"SW_CenterL1u1","SW_Push","MXOnly-1U-NoLED",133.350040,-85.725000,0.000000,top
"SW_CenterL1u2","SW_Push","MXOnly-1U-NoLED",123.825440,-85.725360,0.000000,top
"SW_CenterR1u1","SW_Push","MXOnly-1U-NoLED",152.400040,-85.725360,0.000000,top
"SW_CenterR1u2","SW_Push","MXOnly-1U-NoLED",161.925040,-85.725360,0.000000,top
"SW_D1","SW_Push","MXOnly-1U-NoLED",76.200000,-47.625160,0.000000,top
"SW_DOWN1","SW_Push","MXOnly-1U-NoLED",257.176080,-85.725320,0.000000,top
"SW_E1","SW_Push","MXOnly-1U-NoLED",76.200000,-28.575080,0.000000,top
"SW_ENT1.5u1","SW_Push","MXOnly-1.5U-NoLED",271.463480,-47.625200,0.000000,top
"SW_ENT1.25u1","SW_Push","MXOnly-1.25U-NoLED",269.081250,-47.625200,0.000000,top
"SW_F1","SW_Push","MXOnly-1U-NoLED",95.250000,-47.625160,0.000000,top
"SW_Fn1u1","SW_Push","MXOnly-1U-NoLED",276.226160,-66.675280,0.000000,top
"SW_I1","SW_Push","MXOnly-1U-NoLED",209.550720,-28.575120,0.000000,top
"SW_J1","SW_Push","MXOnly-1U-NoLED",190.500640,-47.625160,0.000000,top
"SW_K1","SW_Push","MXOnly-1U-NoLED",209.550720,-47.625200,0.000000,top
"SW_L1","SW_Push","MXOnly-1U-NoLED",228.600800,-47.625200,0.000000,top
"SW_L2-1u1","SW_Push","MXOnly-1U-NoLED",28.575040,-85.725360,0.000000,top
"SW_LALT1.25u1","SW_Push","MXOnly-1.25U-NoLED",73.819060,-85.725360,0.000000,top
"SW_LSFT1.75u1","SW_Push","MXOnly-1.75U-NoLED",21.431250,-66.675000,180.000000,top
"SW_LSFT1u1","SW_Push","MXOnly-1U-NoLED",9.525040,-66.675360,0.000000,top
"SW_LSFT1u2","SW_Push","MXOnly-1U-NoLED",28.575040,-66.675360,0.000000,top
"SW_LSFT2u1","SW_Push","MXOnly-2U-NoLED",19.050040,-66.675360,0.000000,top
"SW_LSPC1.5u1","SW_Push","MXOnly-1.5U-NoLED",100.012500,-85.725000,0.000000,top
"SW_LSPC2u1","SW_Push","MXOnly-2U-ReversedStabilizers-NoLED",104.775440,-85.725360,0.000000,top
"SW_LWIN1.25u1","SW_Push","MXOnly-1.25U-NoLED",50.006290,-85.725360,0.000000,top
"SW_M1","SW_Push","MXOnly-1U-NoLED",200.025680,-66.675240,0.000000,top
"SW_N1","SW_Push","MXOnly-1U-NoLED",180.975600,-66.675240,0.000000,top
"SW_O1","SW_Push","MXOnly-1U-NoLED",228.600800,-28.575120,0.000000,top
"SW_RALT1.25u1","SW_Push","MXOnly-1.25U-NoLED",211.931290,-85.725360,0.000000,top
"SW_RIGHT1","SW_Push","MXOnly-1U-NoLED",276.226160,-85.725360,0.000000,top
"SW_ROPT1.25u1","SW_Push","MXOnly-1.25U-NoLED",235.743750,-85.725000,0.000000,top
"SW_RSPC1.5u1","SW_Push","MXOnly-1.5U-NoLED",185.737500,-85.725000,0.000000,top
"SW_RSPC2u1","SW_Push","MXOnly-2U-ReversedStabilizers-NoLED",180.975040,-85.725360,0.000000,top
"SW_S1","SW_Push","MXOnly-1U-NoLED",57.150000,-47.625160,0.000000,top
"SW_UP1","SW_Push","MXOnly-1U-NoLED",257.176080,-66.675280,0.000000,top
"SW_V1","SW_Push","MXOnly-1U-NoLED",104.775000,-66.675240,0.000000,top
"SW_W1","SW_Push","MXOnly-1U-NoLED",57.150000,-28.575080,0.000000,top
"SW_X1","SW_Push","MXOnly-1U-NoLED",66.675000,-66.675240,0.000000,top
"SW_Z1","SW_Push","MXOnly-1U-NoLED",47.625000,-66.675240,0.000000,top
